day,pre_2010_bps,post_2010_bps
-10,-81.1,-11.39
-9,-30.41,10.37
-8,-51.55,-14.54
-7,59.02,-4.54
-6,-1.88,-9.08
-5,147.6,-8.2
-4,13.46,-8.22
-3,30.04,9.29
-2,188.88,-10.64
-1,-47.03,2.78
0,-7.57,-5.84
1,74.56,-22.95
2,17.42,0.02
3,-162.32,-8.23
4,28.33,-24.0
5,36.03,-44.0
6,-152.75,-22.52
7,-44.5,-10.91
8,91.18,-12.37
9,-208.38,-24.15
10,-5.39,-16.01
11,-151.41,-24.68
12,-87.67,-8.55
13,-115.66,-37.65
14,27.03,-1.44
15,-62.57,-11.95
16,-114.47,-15.21
17,-99.96,-3.63
18,-33.43,-20.15
19,58.25,-13.5
20,65.43,0.71
