ticker,effective_date,status,n_obs
STLD,2022-12-22,ok,196
FSLR,2022-12-19,ok,194
MBC,2022-12-15,ok,48
ACGL,2022-11-01,ok,195
TRGP,2022-10-12,ok,198
PCG,2022-10-03,ok,197
EQT,2022-10-03,ok,197
CSGP,2022-09-19,ok,197
INVH,2022-09-19,ok,197
KDP,2022-06-21,ok,195
ON,2022-06-21,ok,195
VICI,2022-06-08,ok,196
WBD,2022-04-11,ok,196
CPT,2022-04-04,ok,196
MOH,2022-03-02,ok,198
NDSN,2022-02-15,ok,197
CEG,2022-02-02,ok,56
SBNY,2021-12-20,empty,0
SEDG,2021-12-20,ok,196
FDS,2021-12-20,ok,196
EPAM,2021-12-14,ok,197
MTCH,2021-09-20,ok,198
CDAY,2021-09-20,empty,0
BRO,2021-09-20,ok,198
TECH,2021-08-30,ok,198
MRNA,2021-07-21,ok,196
OGN,2021-06-03,ok,59
CRL,2021-05-14,ok,196
PTC,2021-04-20,ok,196
NXPI,2021-03-22,ok,196
PENN,2021-03-22,ok,196
GNRC,2021-03-22,ok,196
CZR,2021-03-22,ok,196
MPWR,2021-02-12,ok,197
TRMB,2021-01-21,ok,198
ENPH,2021-01-07,ok,198
TSLA,2020-12-21,ok,195
VNT,2020-10-09,ok,56
POOL,2020-10-07,ok,199
ETSY,2020-09-21,ok,198
TER,2020-09-21,ok,198
CTLT,2020-09-21,empty,0
BIO,2020-06-22,ok,195
TDY,2020-06-22,ok,195
TYL,2020-06-22,ok,195
WST,2020-05-22,ok,196
DPZ,2020-05-12,ok,195
DXCM,2020-05-12,ok,195
OTIS,2020-04-03,ok,55
CARR,2020-04-03,ok,55
HWM,2020-04-01,ok,196
IR,2020-03-02,ok,196
PAYC,2020-01-28,ok,196
LYV,2019-12-23,ok,195
ZBRA,2019-12-23,ok,195
STE,2019-12-23,ok,195
ODFL,2019-12-09,ok,196
WRB,2019-12-05,ok,198
NOW,2019-11-21,ok,197
LVS,2019-10-03,ok,200
NVR,2019-09-26,ok,199
CDW,2019-09-23,ok,198
LDOS,2019-08-09,ok,197
IEX,2019-08-09,ok,197
TMUS,2019-07-15,ok,195
MKTX,2019-07-01,ok,194
AMCR,2019-06-11,ok,194
BMS,2019-06-07,ok,152
DD,2019-06-03,ok,194
CTVA,2019-06-03,ok,51
DOW,2019-04-02,ok,54
FOXA,2019-03-19,ok,51
FOX,2019-03-19,ok,50
WAB,2019-02-27,ok,196
ATO,2019-02-15,ok,196
TFX,2019-01-18,ok,196
FRC,2019-01-02,empty,0
CE,2018-12-24,ok,194
LW,2018-12-03,ok,195
MXIM,2018-12-03,empty,0
FANG,2018-12-03,ok,195
JKHY,2018-11-13,ok,196
KEYS,2018-11-06,ok,196
FTNT,2018-10-11,ok,199
ROL,2018-10-01,ok,198
WCG,2018-09-14,empty,0
ANET,2018-08-28,ok,198
CPRT,2018-07-02,ok,195
FLT,2018-06-20,empty,0
BR,2018-06-18,ok,195
HFC,2018-06-18,empty,0
TWTR,2018-06-07,empty,0
EVRG,2018-06-05,ok,195
ABMD,2018-05-31,empty,0
MSCI,2018-04-04,ok,196
TTWO,2018-03-19,ok,196
SIVB,2018-03-19,empty,0
NKTR,2018-03-19,ok,196
IPGP,2018-03-07,ok,197
HII,2018-01-03,ok,196
NCLH,2017-10-13,ok,199
CDNS,2017-09-18,ok,198
DWDP,2017-09-01,empty,0
SBAC,2017-09-01,ok,199
Q,2017-08-29,empty,0
BHF,2017-08-08,ok,62
DRE,2017-07-26,empty,0
AOS,2017-07-26,ok,196
PKG,2017-07-26,ok,196
RMD,2017-07-26,ok,196
MGM,2017-07-26,ok,196
BKR,2017-07-07,ok,196
HLT,2017-06-19,ok,195
ALGN,2017-06-19,ok,195
ANSS,2017-06-19,empty,0
RE,2017-06-19,empty,0
INFO,2017-06-02,empty,0
IT,2017-04-05,ok,196
DXC,2017-04-04,ok,195
AMD,2017-03-20,ok,196
RJF,2017-03-20,ok,196
ARE,2017-03-20,ok,196
SNPS,2017-03-16,ok,198
DISH,2017-03-13,empty,0
REG,2017-03-02,ok,198
CBOE,2017-03-01,ok,197
INCY,2017-02-28,ok,196
IDXX,2017-01-05,ok,197
MAA,2016-12-02,ok,197
EVHC,2016-12-02,ok,197
ARNC,2016-11-01,empty,0
COTY,2016-09-30,ok,199
COO,2016-09-22,ok,199
CHTR,2016-09-08,ok,200
MTD,2016-09-06,ok,198
FTV,2016-07-05,ok,46
LNT,2016-07-01,ok,196
ALB,2016-07-01,ok,196
FBHS,2016-06-22,empty,0
TDG,2016-06-03,ok,196
AJG,2016-05-31,ok,195
LKQ,2016-05-23,ok,195
DLR,2016-05-18,ok,196
ALK,2016-05-13,ok,196
AYI,2016-05-03,ok,195
GPN,2016-04-25,ok,196
ULTA,2016-04-18,ok,196
UA,2016-04-08,ok,56
FL,2016-04-04,empty,0
HOLX,2016-03-30,empty,0
CNC,2016-03-30,ok,196
UDR,2016-03-07,ok,196
AWK,2016-03-04,ok,197
CXO,2016-02-22,empty,0
CFG,2016-02-01,ok,195
FRT,2016-02-01,ok,195
EXR,2016-01-19,ok,196
WLTW,2016-01-05,empty,0
CHD,2015-12-29,ok,195
CSRA,2015-12-01,ok,54
ILMN,2015-11-19,ok,198
SYF,2015-11-18,ok,197
HPE,2015-11-02,ok,54
VRSK,2015-10-07,ok,199
CMCSK,2015-09-18,empty,0
FOX,2015-09-18,empty,0
NWS,2015-09-18,ok,199
UAL,2015-09-02,ok,199
ATVI,2015-08-28,empty,0
SIG,2015-07-29,ok,196
PYPL,2015-07-20,ok,56
AAP,2015-07-08,ok,196
KHC,2015-07-06,ok,46
CPGX,2015-07-02,empty,0
JBHT,2015-07-01,ok,196
BXLT,2015-07-01,empty,0
QRVO,2015-06-11,ok,156
O,2015-04-07,ok,195
AAL,2015-03-23,ok,195
EQIX,2015-03-23,ok,195
SLG,2015-03-23,ok,195
HBI,2015-03-23,empty,0
HSIC,2015-03-18,ok,197
SWKS,2015-03-12,ok,198
HCA,2015-01-27,ok,196
ENDP,2015-01-27,empty,0
RCL,2014-12-05,ok,197
LVLT,2014-11-05,empty,0
URI,2014-09-20,ok,198
UHS,2014-09-20,ok,198
MNK,2014-08-18,empty,0
DISCK,2014-08-06,empty,0
MLM,2014-07-02,ok,195
AMG,2014-07-01,ok,194
XEC,2014-06-20,empty,0
AVGO,2014-05-08,ok,197
UA,2014-05-01,empty,0
NAVI,2014-05-01,ok,54
GOOGL,2014-04-03,ok,197
ESS,2014-04-02,ok,196
GMCR,2014-03-21,empty,0
TSCO,2014-01-24,ok,197
ADS,2013-12-23,empty,0
MHK,2013-12-23,ok,195
FB,2013-12-23,empty,0
GGP,2013-12-10,empty,0
ALLE,2013-12-02,ok,53
KORS,2013-11-13,empty,0
RIG,2013-10-29,ok,196
VRTX,2013-09-20,ok,199
AME,2013-09-20,ok,199
DAL,2013-09-10,ok,198
NLSN,2013-07-08,empty,0
NWSA,2013-07-01,ok,53
ZTS,2013-06-21,ok,142
GM,2013-06-06,ok,195
KSU,2013-05-23,empty,0
MAC,2013-05-08,ok,194
REGN,2013-04-30,ok,194
PVH,2013-02-15,ok,195
ABBV,2013-01-02,ok,45
DLPH,2012-12-21,empty,0
GRMN,2012-12-11,ok,194
DG,2012-12-03,ok,194
PETM,2012-10-10,empty,0
KRFT,2012-10-02,empty,0
MDLZ,2012-10-02,ok,196
ADT,2012-10-01,empty,0
PNR,2012-10-01,ok,196
LYB,2012-09-05,ok,197
ESV,2012-07-31,empty,0
